Age,Gender,Salary,JobRole,JobSatisfaction,WorkLifeBalance,YearsAtCompany,Overtime,DistanceFromHome,EducationLevel,PerformanceRating,MaritalStatus,Attrition
50,Male,113442,HR,1,4,18,Yes,15,1,3,Married,Yes
36,Male,87559,Sales,3,1,13,No,27,4,2,Single,No
29,Female,79205,Sales,4,3,23,No,16,5,4,Married,No
42,Female,93475,Technician,2,2,10,No,36,3,3,Married,Yes
40,Male,89341,HR,5,2,23,No,38,2,3,Divorced,No
44,Male,67863,HR,1,2,1,No,18,5,1,Divorced,Yes
32,Female,106837,Sales,5,4,26,Yes,35,3,2,Single,No
32,Male,90439,Sales,4,3,1,No,25,4,3,Divorced,No
45,Male,32194,Technician,3,1,1,No,22,5,2,Married,Yes
57,Male,96387,Technician,4,4,9,Yes,31,5,4,Divorced,No
45,Female,106914,Engineer,5,4,22,No,37,3,2,Single,No
24,Female,91214,Manager,5,2,14,No,34,3,3,Single,No
43,Female,54777,HR,4,3,21,No,23,1,4,Married,No
23,Female,51183,HR,4,3,11,No,16,1,4,Married,No
45,Female,52445,Technician,4,2,10,No,6,5,1,Divorced,No
51,Female,92038,Technician,1,2,16,Yes,15,2,4,Single,Yes
59,Male,112201,Engineer,5,2,17,No,18,4,3,Married,No
23,Female,41198,Manager,2,4,13,Yes,38,3,1,Divorced,Yes
42,Female,46411,Engineer,1,4,16,No,13,1,3,Divorced,No
54,Male,75577,Manager,1,4,14,No,24,4,3,Divorced,No
33,Female,40867,HR,1,1,11,Yes,13,5,1,Married,Yes
43,Female,87501,Engineer,2,1,26,No,1,3,1,Married,Yes
46,Male,39266,Technician,4,3,15,No,36,3,2,Divorced,No
48,Male,64422,Engineer,5,2,22,Yes,18,1,3,Divorced,No
49,Male,60208,Engineer,3,2,5,No,33,2,2,Married,No
37,Female,56213,HR,3,4,1,No,38,3,4,Single,No
36,Male,32367,Technician,5,1,1,Yes,6,2,4,Divorced,Yes
24,Female,104026,Technician,2,2,15,Yes,17,4,2,Single,Yes
58,Female,60362,Sales,3,3,1,No,4,3,1,Single,Yes
28,Female,76588,Sales,1,2,7,No,14,3,4,Married,Yes
42,Female,63285,Sales,3,4,29,No,30,2,1,Married,No
30,Male,99755,HR,5,4,6,Yes,20,1,2,Single,No
39,Male,96846,Engineer,1,1,0,Yes,8,5,1,Married,Yes
25,Female,61307,Technician,3,3,3,No,2,4,3,Single,No
46,Male,105280,Technician,5,3,10,No,37,3,4,Single,No
35,Female,44867,Engineer,2,2,19,No,4,1,1,Married,Yes
30,Female,81523,Technician,5,3,6,Yes,10,3,1,Married,Yes
47,Female,109161,Engineer,2,2,17,Yes,20,4,3,Divorced,Yes
23,Male,31378,HR,1,2,3,Yes,35,5,1,Married,Yes
41,Female,109685,HR,5,1,16,No,10,3,2,Divorced,No
49,Female,101958,HR,4,3,28,No,28,2,2,Married,No
28,Male,52926,Engineer,4,4,28,No,15,1,2,Married,No
29,Male,38180,Engineer,4,2,10,Yes,36,5,4,Married,Yes
56,Male,117837,Manager,4,2,10,No,1,3,1,Married,No
35,Male,61931,Technician,4,2,19,Yes,22,5,4,Single,Yes
38,Female,49014,Technician,2,3,10,No,27,2,4,Married,No
57,Male,104872,Manager,5,3,14,Yes,29,3,1,Single,Yes
25,Female,83502,Manager,1,3,13,No,15,5,1,Married,Yes
23,Male,112736,HR,4,2,16,No,10,3,2,Married,No
27,Male,30470,Manager,4,4,1,Yes,20,3,4,Single,Yes
25,Male,39953,Engineer,1,4,17,No,22,5,4,Married,No
