age,annual_income,loan_amount,credit_score,loan_tenure_years,existing_loans,employment_type,education_level,marital_status,property_owned,loan_purpose,default
50.58025657975484,330516.92839777714,,599.1155656681614,7.68209853967733,,Self-Employed,PhD,,No,Home,No
42.47544956658568,1399312.7350197216,740558.5750029547,784.0226395292864,,1.3222041730152978,Salaried,Diploma,Divorced,Yes,Personal,Yes
57.32178765757944,575953.1389562148,468685.94867143413,448.8760104320081,29.579995148055577,,Salaried,PhD,,Yes,Personal,Yes
,,1052662.385334216,733.2074055913575,13.870311381937071,4.415268532781109,Self-Employed,Diploma,Married,Yes,,
56.5541983880533,,383339.4645888271,302.87444628977886,29.993312690241297,4.2456853813112625,,Diploma,Married,No,Car,No
,1645173.1705486274,1384927.882856943,576.5880943912875,16.75495599890887,,Business,PhD,Single,Yes,Personal,Yes
34.09538994297353,,1317535.462521846,846.9165796769611,24.19701901898282,1.4164036987541455,Salaried,PhD,Divorced,No,Personal,No
,,1077512.5657236422,381.9959170209336,16.971988708368585,4.7604540414214735,Salaried,,Married,Yes,,Yes
,285100.0488131215,954328.0922713855,807.2932901062798,23.767142739881876,3.969453652390527,Self-Employed,Diploma,Divorced,Yes,Car,No
,1806722.8280084895,430456.34958457254,568.2937039231438,26.331019601801014,1.525403186777123,Self-Employed,Diploma,Divorced,Yes,,
54.87089324035735,,907894.9769608075,781.7459826403369,5.522894331169343,,,Diploma,Divorced,,Car,
53.857752443749185,1646230.7381978543,411825.6609392541,882.4553091527218,27.436108499979355,0.7248163169053545,Salaried,Graduate,Married,,Education,Yes
,1871790.2967591765,447586.2542491163,710.2532317689315,12.003616949305735,2.7343457551499926,Self-Employed,Post-Graduate,Single,No,Car,Yes
,1566716.7342685522,,447.08967515172094,29.917180358655152,4.614151571224684,Salaried,,Divorced,No,,
,1074865.060600448,1352458.2054111224,306.3775849559715,25.8772134015402,,Self-Employed,,,,Education,Yes
38.399977951216094,,663755.2838139499,338.38187086235394,3.3113600892678394,3.4159739462794185,Salaried,Diploma,Single,Yes,Personal,No
63.85407706047424,1725278.1662144999,1334862.265014007,577.2960775829162,17.10779464947959,2.8001137774029408,Self-Employed,,,Yes,Education,No
