Engine_CC,Mileage,Horsepower,Age,Brand,Fuel_Type,Transmission,Condition,Price
1660,25.1,117,16,Suzuki,Petrol,Automatic,10.0,772165
2094,9.0,244,15,Honda,Diesel,Manual,6.0,950518
1930,24.7,121,16,BMW,Petrol,Manual,4.0,922981
1895,24.9,225,11,Tata,Petrol,Manual,4.0,422660
2438,13.7,230,6,Honda,Petrol,Automatic,6.0,1118449
2969,17.3,122,11,Honda,Diesel,Manual,9.0,1087895
1266,16.8,206,3,Toyota,Petrol,Automatic,,1145000
2038,12.4,220,15,Kia,Diesel,Manual,4.0,761139
1130,15.9,200,1,Toyota,Petrol,Manual,10.0,1067872
2282,8.9,156,7,Tata,CNG,Manual,5.0,459252
2935,13.6,280,1,BMW,Diesel,Manual,7.0,1977369
930,24.3,102,17,Audi,Diesel,Automatic,8.0,956967
2485,13.7,167,9,Honda,Diesel,Manual,10.0,1210114
1569,24.4,325,13,Suzuki,Diesel,Automatic,6.0,763871
3191,18.6,154,11,BMW,Diesel,Automatic,7.0,1811100
2315,25.6,321,20,Honda,Petrol,Manual,8.0,920491
3233,19.5,130,6,Audi,Petrol,Automatic,5.0,1436584
2015,8.6,278,1,Kia,Diesel,Manual,9.0,1290400
1755,21.5,80,7,Suzuki,Petrol,Manual,6.0,415194
3124,8.9,151,12,Honda,Petrol,Manual,9.0,655476
1984,17.0,186,20,Hyundai,Petrol,Manual,10.0,639259
1259,26.6,139,19,Tata,Petrol,Manual,4.0,609099
821,11.3,297,17,BMW,Diesel,Automatic,9.0,1418806
3100,15.8,241,4,Tata,Petrol,Manual,,1030268
1547,22.6,84,3,Toyota,CNG,Manual,10.0,724492
1274,25.6,215,1,Honda,CNG,Manual,8.0,790736
1882,21.4,64,18,Suzuki,CNG,Manual,7.0,200000
3358,13.2,179,15,Suzuki,Petrol,Automatic,5.0,430676
2847,21.5,336,8,BMW,Petrol,Automatic,8.0,2034629
1775,13.9,77,1,BMW,CNG,Manual,,1365955
2606,22.4,257,20,Tata,CNG,Automatic,9.0,755745
989,27.1,116,14,Suzuki,Diesel,Manual,5.0,506300
1362,22.4,152,4,Suzuki,Petrol,Manual,9.0,888113
2699,25.3,78,5,Suzuki,Petrol,Manual,5.0,704182
2067,8.0,252,13,Honda,Diesel,Manual,6.0,866646
2328,22.4,296,15,Suzuki,Petrol,Automatic,8.0,673094
1446,24.6,336,6,Toyota,Diesel,Manual,6.0,1258046
2868,8.8,286,1,Suzuki,Diesel,Manual,7.0,1091316
3014,25.4,292,19,Toyota,Diesel,Manual,7.0,786021
2097,13.1,99,13,Honda,Petrol,Manual,4.0,443358
3235,21.3,212,6,BMW,Petrol,Manual,4.0,1747029
1400,24.0,186,15,Kia,CNG,Manual,4.0,284303
3163,21.3,296,16,Toyota,Diesel,Automatic,10.0,1523064
2861,9.8,114,16,Honda,Diesel,Automatic,7.0,544658
1041,19.9,231,10,Kia,Diesel,Manual,5.0,850036
2841,19.0,168,9,Kia,Diesel,Automatic,9.0,1135406
3412,26.0,243,9,Suzuki,Diesel,Manual,10.0,992780
2163,16.1,257,17,Honda,Petrol,Manual,5.0,699457
2939,14.4,146,17,Kia,Petrol,Manual,8.0,979889
2190,23.0,260,17,Suzuki,Petrol,Manual,,712028
2278,16.3,334,12,Tata,Petrol,Automatic,9.0,805609
3356,20.9,270,13,Honda,Petrol,Manual,9.0,802774
1575,20.9,177,12,Kia,Petrol,Automatic,9.0,773117
834,25.8,250,14,BMW,Diesel,Manual,4.0,962475
3053,20.0,101,10,Toyota,Petrol,Manual,9.0,647795
2755,18.0,101,19,Tata,Petrol,Automatic,9.0,676032
2385,10.8,335,2,BMW,Petrol,Manual,7.0,1691949
1821,10.3,76,4,Hyundai,Diesel,Manual,5.0,744254
3413,11.1,342,19,Suzuki,Petrol,Manual,10.0,938337
1929,11.4,317,7,Kia,Petrol,Manual,10.0,1127271
2300,20.8,122,15,Toyota,Petrol,Automatic,5.0,853841
1502,22.8,121,15,BMW,Diesel,Manual,6.0,861271
3249,18.6,159,6,Toyota,CNG,Manual,6.0,913449
2379,24.6,78,3,Hyundai,CNG,Automatic,8.0,856674
961,27.8,76,6,Audi,Petrol,Manual,7.0,720254
1001,24.4,305,16,Suzuki,Diesel,Manual,,634845
2781,21.9,310,2,Suzuki,Petrol,Manual,6.0,1169293
1795,18.6,140,7,Honda,Petrol,Manual,7.0,789278
3117,17.0,98,11,Kia,Petrol,Manual,5.0,468812
1615,9.7,95,7,Suzuki,Petrol,Manual,8.0,588595
1255,16.0,256,4,Suzuki,Diesel,Automatic,8.0,701874
2075,26.2,217,20,BMW,Petrol,Manual,8.0,1206840
1816,24.2,263,7,Tata,Petrol,Manual,6.0,800938
3143,12.3,255,4,Suzuki,Petrol,Manual,,859972
1137,17.3,275,12,Suzuki,Petrol,Manual,8.0,541436
1678,24.3,344,5,Kia,Diesel,Automatic,7.0,1054053
1876,9.3,255,19,Hyundai,Diesel,Manual,8.0,727124
1591,15.7,211,5,Tata,Diesel,Manual,10.0,726298
3064,25.0,73,19,Hyundai,Petrol,Manual,4.0,356296
1563,16.1,205,3,Kia,Petrol,Manual,5.0,898314
3035,9.6,116,11,Toyota,Petrol,Manual,4.0,708009
1179,18.9,270,7,Toyota,CNG,Manual,5.0,690366
