Area_sqft,Bedrooms,Bathrooms,Location_Rating,Age_of_House,Price
1660,1,4,5,19,247494
2094,3,2,8,22,313942
1930,4,3,4,15,252634
1895,4,2,4,10,262503
2438,1,4,5,22,324342
2969,2,1,1,29,270691
1266,5,3,1,1,191349
2038,5,2,2,6,241660
1130,1,2,8,13,224678
2282,2,2,7,14,331422
2935,3,1,10,3,446757
930,1,3,9,11,239172
2485,1,1,5,3,318253
1569,5,1,2,19,176802
3191,1,1,7,10,390590
2315,1,4,8,27,347375
3233,1,4,7,15,432045
2015,5,4,7,11,341905
1755,3,3,5,15,263140
3124,3,1,2,26,310312
1984,1,1,6,27,247472
1259,5,4,4,24,190802
821,3,1,10,13,231570
3100,3,1,2,5,339507
1547,3,2,9,4,313549
1274,5,1,7,13,236059
1882,5,2,6,9,289372
3358,1,1,5,25,369637
2847,4,3,3,17,344403
1775,3,4,10,2,344971
2606,4,2,10,24,406373
989,5,4,4,5,214786
1362,5,2,3,16,184846
2699,5,2,8,7,407214
2067,4,2,3,1,281047
2328,5,3,7,28,349909
1446,1,1,7,26,224448
2868,5,2,7,12,398270
3014,2,3,7,21,403325
2097,4,2,2,11,242460
3235,2,1,10,12,444967
1400,5,2,3,19,178590
3163,1,3,10,26,449410
2861,3,1,9,12,395010
1041,5,3,3,12,169550
2841,1,1,2,14,297887
3412,4,1,9,2,474446
2163,2,4,10,2,391916
2939,2,4,9,25,405004
2190,2,4,4,29,258691
2278,4,1,9,4,370303
3356,1,2,3,20,337519
1575,4,3,7,23,261768
834,2,3,7,26,188568
3053,5,3,8,16,426866
2755,3,4,10,10,450828
2385,4,1,4,13,286771
1821,4,4,3,2,276029
3413,1,2,3,3,384223
1929,1,1,5,19,246143
2300,4,3,1,6,273338
1502,2,4,10,19,305018
3249,3,4,3,27,349755
2379,1,2,6,21,319621
961,2,2,3,20,150794
1001,5,4,5,19,196220
2781,1,2,9,8,401018
1795,2,3,2,14,206770
3117,2,2,2,10,327793
1615,3,2,6,3,263756
1255,3,4,6,6,255836
2075,5,4,8,29,333161
1816,2,1,2,15,184426
3143,2,1,9,23,411079
1137,3,4,2,23,157369
1678,1,2,1,18,178733
1876,1,2,10,14,314136
1591,4,1,2,19,173921
3064,3,1,7,28,370519
1563,4,1,8,26,269197
3035,3,3,5,10,385410
1179,5,3,6,15,243468
1292,2,1,1,4,155907
1980,5,2,6,23,281316
2862,3,1,8,2,416632
864,2,3,3,3,167993
3368,1,2,1,7,353763
2167,1,3,4,23,274545
1952,4,2,1,16,219736
2827,3,3,8,10,418853
3495,3,2,5,19,418626
2295,1,2,1,28,202084
1962,5,2,8,17,310792
2322,2,2,9,28,339302
3440,5,4,10,19,512113
1191,5,3,2,5,174788
2498,1,3,9,23,356660
1218,1,4,8,20,255046
3136,1,2,7,13,402949
1178,4,2,3,13,184975
2596,5,3,2,11,294200
3078,3,4,7,11,412679
2888,2,2,5,16,341437
2982,4,2,6,15,391427
1000,3,2,4,17,156389
2663,5,1,2,22,281403
1579,1,4,9,18,284842
1302,5,2,3,28,158467
3254,2,1,7,19,412148
2551,4,4,8,4,406836
1604,4,2,2,22,190030
2946,2,3,6,22,380292
2695,3,1,8,23,370565
2370,3,1,7,5,353032
1760,4,2,3,7,238951
3460,4,2,1,2,374654
2285,1,1,6,1,306249
3490,3,3,8,12,465003
1828,2,3,6,10,290347
1302,3,4,5,8,226696
1197,1,2,8,1,249794
1670,4,3,2,12,206098
1192,4,4,1,2,173192
1006,1,3,1,27,102435
1838,2,2,4,28,234461
2681,4,4,6,10,366154
2284,5,4,9,22,376660
1663,4,4,1,17,194771
1363,5,3,1,26,157994
1820,1,2,5,3,252035
895,1,4,10,7,253052
2723,4,1,5,12,325517
2557,3,2,5,8,327502
3332,5,1,10,20,468848
3078,2,1,6,12,368308
2478,4,4,8,3,395500
1340,2,4,3,17,183087
1859,4,3,9,28,331463
3372,3,3,1,9,368479
1983,3,3,4,10,262751
2522,3,2,9,22,363112
2619,3,3,8,6,403458
3425,1,1,10,25,447047
3404,1,3,9,1,466731
2397,5,4,1,22,268545
3493,2,3,9,12,479636
1595,4,2,3,5,232030
1851,4,2,10,13,335851
2443,1,1,9,27,349953
2163,4,2,1,15,245476
2781,1,3,1,22,273270
2154,5,4,9,11,367911
2463,2,2,6,8,338618
2329,5,1,4,5,298885
2838,3,3,7,2,405738
2296,3,1,5,12,288467
3037,3,2,10,28,441326
2208,5,2,7,2,360092
2200,4,1,8,26,322601
2106,2,3,8,16,331675
3480,3,2,1,21,346597
3475,3,4,8,3,477485
1772,3,2,6,10,269812
2568,2,3,4,19,300063
2082,3,2,8,8,341256
1509,2,1,3,7,183910
2279,3,2,4,1,304302
2234,5,2,6,12,317151
1448,5,3,7,29,258602
1117,2,1,4,28,134555
2057,5,3,4,5,306468
