Advertising_Budget_Thousands,Sales_Thousands
18.3,179.25
31.3,323.92
97.3,764.44
36.48,360.31
50.79,537.32
23.63,184.51
63.02,561.78
31.66,276.84
24.66,264.35
54.07,483.36
5.52,68.52
5.73,115.34
25.81,328.67
8.49,110.27
15.26,200.89
37.19,295.8
81.25,661.71
59.34,543.65
53.7,538.99
32.88,327.28
93.52,785.61
42.72,391.7
13.27,106.17
63.62,583.15
15.81,211.81
37.8,334.29
53.2,456.83
88.05,765.04
51.89,447.63
71.71,621.07
99.32,928.53
17.49,180.05
31.1,284.46
42.48,363.98
45.07,440.36
44.05,395.13
91.22,753.81
72.83,685.52
62.75,608.79
34.39,301.11
83.26,641.42
95.73,856.15
83.01,686.73
5.15,122.81
65.46,494.86
9.86,164.57
29.47,237.33
10.65,164.47
62.36,549.46
70.23,573.65
15.88,160.73
41.46,409.17
48.34,440.98
40.06,393.86
16.5,261.04
44.8,345.83
76.36,725.58
11.75,148.14
12.62,114.99
38.7,306.41
94.46,798.15
68.51,634.98
69.47,600.69
39.38,425.51
61.4,483.14
5.96,97.22
65.43,523.34
91.76,798.64
63.19,591.03
88.0,737.18
73.78,536.05
16.45,189.58
90.73,793.33
11.31,156.67
55.73,545.25
18.5,155.18
6.11,126.11
45.09,458.45
33.03,243.09
51.17,472.15
59.83,508.5
9.16,119.98
16.69,197.39
58.07,495.08
37.6,323.78
74.27,645.54
66.97,542.25
85.33,689.23
70.79,643.47
45.84,370.8
68.93,628.11
31.16,317.79
34.1,253.77
79.95,662.53
47.41,477.04
80.85,657.52
83.13,696.46
86.47,760.23
92.08,817.98
45.94,407.49
35.29,308.44
60.31,589.37
40.26,441.65
62.1,585.97
72.03,629.66
70.4,580.86
40.58,341.44
20.85,237.71
45.9,433.94
18.55,254.44
89.56,792.49
37.86,292.74
19.67,249.47
7.42,69.42
66.35,565.47
65.51,584.05
37.36,428.69
11.81,268.9
43.91,425.59
34.57,319.2
69.33,625.99
62.55,585.9
39.64,354.26
25.7,327.41
98.86,850.11
48.13,454.95
70.39,639.73
18.35,213.68
51.13,492.61
7.62,86.24
53.02,451.81
96.58,778.65
41.5,399.58
8.7,150.79
7.94,131.84
41.86,451.85
20.2,211.4
7.22,134.5
76.84,621.05
48.56,422.99
32.48,337.65
90.51,808.03
16.03,166.51
95.81,813.63
34.83,267.9
89.4,750.91
62.28,583.85
83.54,741.31
98.48,857.88
32.4,311.18
96.31,820.75
42.0,359.59
41.62,410.94
37.34,365.53
56.43,521.15
19.64,186.11
57.6,424.69
56.46,545.58
77.38,649.89
84.2,689.06
46.84,452.47
33.72,304.09
29.64,329.49
23.49,262.59
10.48,161.15
37.53,295.62
30.67,343.87
96.81,834.93
57.98,499.09
37.99,359.67
60.14,460.11
18.22,212.14
47.18,386.3
64.49,511.83
51.45,400.67
43.17,439.86
99.42,820.15
88.63,820.39
64.22,542.36
59.09,454.43
63.96,517.04
24.12,292.43
42.54,384.07
8.75,98.06
50.18,457.82
56.59,522.77
26.64,307.79
96.58,880.6
91.4,766.79
73.6,585.79
55.67,478.84
87.65,761.59
17.41,150.75
80.1,652.5
16.86,198.62
80.45,691.65
31.2,300.9
88.32,726.25
94.68,798.26
19.14,166.12
48.95,477.24
98.19,876.96
50.92,383.54
87.04,709.12
60.93,477.57
40.66,349.25
32.15,303.86
24.31,186.46
77.37,632.09
41.72,343.61
53.57,486.86
51.77,466.94
59.84,499.86
87.23,754.91
98.17,813.49
43.72,388.9
83.61,785.85
77.63,724.66
59.49,473.9
95.82,849.79
24.05,274.82
15.38,127.11
86.13,771.76
46.72,485.27
85.46,688.79
89.84,732.05
10.93,178.17
88.93,772.29
47.59,452.78
53.49,491.55
64.53,581.84
93.01,740.99
6.82,146.42
50.3,499.18
70.33,603.49
73.66,637.52
70.79,555.08
17.77,212.74
33.44,340.42
39.08,360.14
81.42,746.35
31.48,288.49
25.02,272.72
95.96,776.87
5.84,95.79
99.79,841.37
69.3,613.4
83.7,704.86
32.99,308.65
6.36,133.92
75.1,633.31
84.24,659.69
75.35,722.75
18.57,253.82
76.58,610.91
78.05,701.97
67.56,570.37
77.78,682.79
85.36,744.67
63.29,546.96
13.42,125.99
51.32,432.98
12.38,112.37
43.72,366.46
43.68,396.71
11.27,111.54
38.14,382.39
15.54,233.85
81.78,681.06
95.03,819.82
11.87,164.95
95.74,834.77
54.64,490.2
33.46,347.38
12.3,167.71
52.56,420.97
80.48,728.6
72.17,662.88
9.77,97.64
11.93,146.92
43.27,423.52
33.05,306.05
27.08,309.53
31.7,398.12
81.33,669.21
93.28,740.97
43.48,410.03
91.08,807.51
35.54,325.1
50.26,510.22
26.47,208.24
65.85,604.48
98.0,809.79
62.33,617.43
38.99,441.64
66.54,551.67
16.68,161.44
89.42,799.76
52.79,456.86
47.69,429.69
60.66,536.27
64.35,488.05
11.82,144.0
69.85,581.2
27.98,254.14
72.83,690.35
83.14,664.87
81.38,733.54
57.49,498.74
54.42,474.14
18.57,230.2
78.66,692.87
30.78,319.1
52.19,506.22
32.01,292.8
17.71,167.22
64.81,525.06
10.16,98.28
76.12,776.93
35.17,381.15
5.01,36.06
53.56,425.56
9.45,144.88
31.24,321.78
72.16,649.26
10.96,127.45
84.74,722.88
5.36,106.02
28.45,281.02
75.39,564.32
35.05,321.17
14.68,133.38
39.22,370.79
30.69,414.91
85.06,745.16
34.77,315.6
79.95,726.46
89.73,787.13
46.21,436.51
91.44,805.83
40.85,459.02
96.59,777.46
13.48,176.81
70.27,575.08
51.91,487.52
41.83,347.87
65.11,554.17
71.87,613.13
5.41,132.35
20.86,253.62
72.74,582.09
68.31,598.65
96.77,795.81
77.3,618.05
95.32,803.91
71.74,611.59
33.31,413.59
15.01,187.4
79.27,629.08
66.19,556.96
9.58,167.48
39.2,447.18
95.9,753.73
52.54,395.11
46.11,493.71
48.48,453.44
24.84,214.02
40.03,391.6
40.13,265.63
9.97,129.92
77.92,686.46
44.57,443.51
83.11,674.3
85.78,739.69
25.14,214.1
67.45,599.8
49.87,413.12
88.61,742.6
25.5,214.13
69.39,631.18
62.74,586.23
33.05,305.04
17.98,195.35
66.91,527.3
75.17,639.35
34.98,327.87
66.26,684.9
42.54,345.82
72.75,690.6
23.93,281.28
89.57,777.79
32.3,378.78
39.94,384.4
10.52,149.72
15.59,172.62
54.01,531.0
30.42,337.23
84.37,699.94
6.4,48.4
41.01,369.99
37.05,314.38
6.84,102.15
16.81,234.02
44.3,386.08
51.82,462.86
43.41,399.58
55.44,527.45
61.54,452.42
5.94,73.27
49.09,451.16
96.53,870.26
54.31,464.79
69.37,529.87
34.63,351.8
78.53,652.82
78.43,629.83
54.52,461.21
97.72,824.39
16.93,161.23
6.61,14.66
78.17,711.2
81.68,754.43
16.42,207.42
30.23,246.34
6.67,95.28
32.86,312.65
78.45,701.54
54.21,510.38
38.07,325.19
40.32,375.8
5.13,109.32
33.48,376.08
66.41,609.49
97.55,861.95
85.47,737.12
7.24,164.35
90.36,789.3
79.4,650.79
79.14,739.22
48.51,465.99
42.81,374.76
33.78,301.04
11.24,151.79
26.68,281.99
28.43,285.31
50.99,470.35
76.01,726.06
50.01,492.96
10.5,141.59
95.99,855.57
94.56,765.17
79.59,702.66
99.18,915.78
56.73,495.08
96.46,787.8
12.18,121.38
39.74,324.33
26.41,229.9
23.6,224.01
18.38,140.79
64.13,563.66
79.23,719.9
59.94,493.2
18.96,262.46
82.06,726.89
65.42,614.55
41.88,358.69
69.04,636.52
29.69,243.85
37.79,387.96
92.16,794.16
32.6,332.91
49.65,400.17
89.56,730.7
72.23,651.76
10.91,99.34
18.99,220.48
5.74,41.27
64.94,603.43
47.53,380.93
17.76,214.14
96.0,843.06
55.32,464.67
27.98,297.12
52.56,480.88
69.56,584.96
12.24,107.6
31.1,220.27
81.66,717.28
48.67,376.75
56.92,509.21
46.12,408.4
9.17,150.53
20.75,203.89
47.33,415.43
24.87,278.26
9.75,141.39
85.15,743.82
98.21,854.48
80.35,631.37
