Years_of_Experience,Salary
4.37,43395.94
13.24,83727.74
12.06,81381.71
10.05,69018.0
12.83,89832.04
13.08,93032.45
10.77,67568.4
12.64,72533.6
10.61,58377.04
10.36,75874.14
9.47,58522.39
11.41,59848.83
2.8,37107.5
13.27,106307.13
13.14,85660.09
0.92,31328.35
12.47,83026.35
2.37,31051.95
5.36,54148.73
11.28,74082.15
2.83,36294.23
12.36,84376.19
12.57,77485.0
7.86,67227.75
0.59,21563.3
4.66,37264.3
9.45,71519.28
14.73,86448.25
9.66,68531.93
4.27,41262.81
9.69,77152.58
8.33,65446.53
11.81,78838.58
2.05,36798.23
11.53,88796.18
8.35,66204.31
14.46,92399.74
5.46,36791.04
9.67,59844.18
14.01,87630.24
1.99,25055.86
14.09,88953.29
10.47,72824.91
1.48,31655.73
4.86,43755.87
10.77,77734.49
1.48,27898.71
8.94,48903.63
5.52,40061.84
9.5,66363.67
1.16,16138.74
13.14,90485.85
14.62,105323.96
14.55,102493.74
11.37,75142.21
2.39,43857.06
11.49,78663.42
0.86,21585.86
0.82,19196.74
5.19,43541.98
7.59,54821.22
11.67,79717.87
10.41,73323.51
6.97,54852.31
4.47,45833.44
14.96,104316.7
6.68,60994.58
7.05,43346.38
2.87,13931.36
12.02,87598.25
10.56,61856.93
3.7,36707.67
1.69,19111.72
10.37,57420.36
9.99,74283.76
4.46,48384.56
14.29,86825.53
2.69,12723.36
6.77,49474.32
14.18,94046.59
6.59,41098.94
9.76,70260.01
6.27,51203.12
4.48,47014.93
14.77,94795.02
6.44,44392.16
13.46,96894.76
3.83,37903.47
3.59,37731.65
0.95,17291.08
9.95,66199.59
5.84,42139.74
13.03,83782.4
7.36,70501.39
14.54,81718.81
3.19,23042.11
13.1,97244.54
11.76,77128.68
11.68,73039.25
12.75,92066.02
11.53,72829.32
9.58,82509.05
2.4,37438.66
0.97,20954.86
13.85,106519.93
9.44,62361.43
12.05,86185.72
7.48,59804.71
2.2,41418.77
2.32,44068.06
10.44,72459.52
6.74,47669.83
3.41,40717.82
7.63,52718.88
1.43,43262.25
8.94,65785.21
4.4,39079.45
12.06,81800.48
5.0,34224.23
7.1,47730.55
0.67,32945.8
1.55,22497.25
6.19,42580.49
7.46,61588.79
9.2,75487.12
4.73,49397.16
10.58,80854.57
12.97,78804.51
11.81,67664.71
1.07,37383.03
7.47,54755.31
2.02,28100.77
4.01,50673.82
14.81,98482.88
2.57,36478.03
7.73,75989.41
9.46,62168.14
10.69,80851.43
8.61,63530.63
0.64,25357.12
5.23,58396.19
8.01,64096.78
1.77,33176.69
5.58,56500.51
0.98,21987.6
1.64,21483.26
6.26,42918.46
2.42,16391.04
8.73,80096.37
10.5,63660.54
12.11,78772.51
3.4,34796.39
2.93,37101.74
2.02,36607.07
9.73,75524.98
10.74,69054.87
0.96,23453.02
14.08,92636.03
1.25,24278.39
8.35,74602.75
10.78,77834.69
13.13,91524.28
10.85,79574.35
12.13,90013.08
5.42,48558.31
12.31,71200.17
1.66,31505.83
13.47,82163.35
8.44,57971.51
12.35,86445.0
7.06,65199.34
9.83,69329.56
8.13,63134.86
11.11,89157.96
1.68,30344.2
1.38,47688.99
4.08,44939.06
2.81,19980.89
13.14,91731.04
3.68,41442.28
14.65,103568.25
5.38,52310.4
3.14,34595.9
11.95,69958.76
10.05,68584.13
7.72,51815.03
8.55,58119.67
10.93,79350.76
3.81,52422.2
14.95,97891.58
14.63,83605.44
9.93,73205.43
3.39,46539.88
10.36,66938.28
1.55,26662.25
0.94,24839.81
4.24,34902.82
7.21,61226.41
13.09,84482.17
11.04,78576.02
11.27,69246.29
6.67,49848.6
5.52,53359.34
5.88,46417.65
14.82,107920.3
1.08,22210.83
13.07,87157.26
8.89,71914.69
6.86,42952.69
11.02,60994.71
7.56,45578.25
13.16,95923.86
13.56,83386.02
6.61,73540.36
4.51,38056.03
9.09,66921.81
13.73,100983.22
3.55,53821.75
9.53,84157.11
9.66,77955.05
11.13,83843.19
2.41,36778.87
10.88,80624.2
13.68,83995.37
3.11,28981.43
3.94,39694.9
14.59,91564.67
3.12,31995.0
12.89,90014.02
7.64,65832.59
4.08,41131.51
13.13,97449.61
6.96,45651.12
7.96,58274.98
5.71,42809.84
9.1,50556.64
2.87,33694.04
6.17,49879.43
14.56,104889.99
4.24,46261.17
10.02,61919.91
5.22,60909.02
11.72,88345.07
