Age,Household_Size,Monthly_Electricity_Usage_kWh,Monthly_Water_Usage_Liters,Monthly_Gas_Usage_Units,Work_From_Home_Days_Per_Month,Vehicle_Owned,Public_Transport_Usage_Per_Month,Monthly_Internet_Usage_GB,Smart_Device_Count,Monthly_Grocery_Spending,Recycling_Score,Carbon_Footprint_Index
55,7,577.8154346149458,16297.185213455818,250.45217668161968,0,2,5,136.91064076245397,5,22434.35446632423,39.51557825173131,316.9542309000819
44,2,262.1068591074506,8997.944363439297,178.67380463674908,5,1,35,217.89577638987726,8,15304.24601965458,85.4449854414005,162.02696388884914
26,4,321.4661282510933,8171.473190447628,81.16841505629635,9,1,26,179.48045317128486,5,13206.258639153062,91.17518763125186,172.25727886993724
46,3,726.6282828087515,12595.167596130581,352.2601023640189,7,2,0,249.277213578765,7,17872.913293055084,25.030368670794985,394.19992574633096
36,2,432.30696011072035,5435.629368810426,204.87657248689493,18,1,29,375.18292316417615,13,9987.818482186964,44.094451643262616,274.3782288858982
43,4,332.74494733961933,7752.362245175681,184.69919153537683,12,0,48,230.34787918299472,8,17870.195015465928,79.9683289606595,186.73728104400257
36,6,551.5018949649049,21284.837639422207,333.7466951476462,3,2,14,183.1711924600168,5,30115.397299542845,26.23429035116197,376.93328016971407
46,7,594.3041792892079,16473.01772720617,297.0252917899294,1,1,15,100.66226157366815,5,23309.944822507307,37.99057873275021,337.31382637668025
53,5,521.1991185696497,13294.720981204951,392.5405080465407,1,1,14,113.02223040402444,3,31510.671664643633,43.672994981398524,363.01197174698973
46,7,601.2076450813366,20543.299500379202,312.0269563332067,1,2,13,181.2650219754958,2,24459.81161105232,34.527921114237756,317.96141263540056
36,4,721.8693258585672,14596.359806130904,414.7718590572,3,3,0,236.35363267567087,7,22696.18032204093,31.294466425474443,414.1894901986686
57,5,791.0010843146063,16774.92932889859,320.8574520605264,3,2,9,101.91434565433596,3,23043.92863410478,48.38505598590422,325.82945255267913
28,1,584.8608129924868,8622.458337110726,151.57299000359043,15,1,12,406.97548791088644,12,10005.499300404412,57.86791618711943,304.4231033224326
37,4,311.9502124795275,8207.799782757676,120.78677268880091,8,1,47,146.0429492912131,7,14564.955110862995,88.41205271780846,146.48407481321854
49,7,567.8403383907098,16524.80961941559,340.3080422458011,3,1,17,160.3907379309315,3,18947.552851215827,43.77171237567017,328.3043423943563
34,4,307.37955534407917,8717.989141308295,130.64778279640137,9,1,26,262.85409623353115,4,12620.818450026345,83.3896196247277,185.01784558740562
51,5,519.3277912455706,16848.021727088482,381.44647410142863,4,1,17,164.2139945778014,5,20475.173280377418,45.09839982250304,339.80604918089017
48,4,265.1090361945841,9706.467357130137,155.29836674451724,13,0,25,285.70088402329986,7,14257.80764154545,89.24309830813,171.41992904083915
39,4,262.2969827203601,8635.987141365458,169.8163155498141,6,0,39,236.71146825189462,5,20452.696447060305,86.37497666017698,171.27821295302812
36,4,814.9987023362876,18946.81918049692,384.7595665562171,4,2,3,304.5766403907927,7,18802.78838227072,26.779880293825954,412.37536407376837
45,2,286.33219151232174,8917.167335738364,128.82716058429068,9,0,29,217.41592997626512,6,12615.396472066943,88.05961111541022,192.62033973263382
36,2,234.15287825131344,8325.07674318527,133.34526192830043,14,1,46,235.347260516777,4,18295.289176877195,84.72904605951135,184.81341107109154
43,3,426.6876057605333,8949.659358612438,152.40481668647936,10,0,45,194.96739597364865,8,18681.83116130696,85.51288657814172,182.48936764173112
59,3,714.2264151434264,18766.551534822123,426.4547785274459,5,3,2,278.063509242288,5,19064.877222598356,30.181184776258714,458.8180056931714
59,6,604.7482909226247,15976.087762627394,334.269785645006,0,1,14,184.94272409123613,5,20024.909268290216,36.845120574242586,319.91860858638853
55,3,717.0186849470044,16468.36158707027,426.6395862182061,4,3,4,237.37778951230814,5,17399.079630702345,24.59714472104317,388.80095545148845
49,3,816.8915510483058,13708.97614782121,349.05046878050365,9,2,2,298.4893446970591,8,21682.28380401672,26.610914543241662,404.5192040483482
22,2,487.67153856497123,7582.660277867052,154.12132020509608,19,1,19,419.6934050073434,12,14033.11578507541,63.62101416777174,256.4925253862499
53,5,750.2916773332717,12468.574695660822,372.92153316329984,4,3,0,216.38314846965721,7,21593.25539292785,22.352317101474664,443.58894692700835
42,4,299.9826548632556,7885.229932855487,167.11486887113645,13,1,27,149.78699398794274,8,14767.135576501163,79.90363827418003,183.90125610977265
35,2,298.4437959831784,9034.698342478034,138.68373756765078,5,1,43,210.18143849515727,6,10869.25887472865,83.68927959632747,176.4079248382221
32,3,761.6602981992604,10880.390025183355,375.43128632228104,6,3,3,285.1894278023145,5,21816.63194775675,15.532428936715348,405.58739341789516
58,5,610.3744983889382,15683.350440451362,396.8165045249076,2,2,5,177.42222149003086,3,29333.830545103778,43.84170375702381,322.6807267170167
