area,bedrooms,age,price
1660,4,29,325613
4572,2,1,728826
3892,5,28,689354
1266,1,27,198808
4244,5,25,736210
3971,5,24,716255
3719,2,23,571881
930,1,10,160015
2485,2,15,424234
1569,3,23,303532
3191,2,21,488220
3233,2,21,526204
1984,2,11,335888
4185,1,13,633038
4917,2,5,792427
3704,1,1,578489
1274,4,24,248017
1882,3,12,335366
3358,1,11,527204
2847,4,17,497032
3547,1,4,572154
1775,1,15,274312
2606,3,25,437899
989,5,9,254291
3534,5,21,637570
3805,1,20,576883
2699,2,19,420379
2067,4,19,388569
2328,2,12,379392
4002,2,5,633866
4356,1,10,655626
4690,1,17,729430
1446,1,5,238159
3688,1,22,570287
3235,5,16,575391
1400,1,7,212627
3163,5,28,554140
2861,5,9,528405
1041,1,3,163363
2841,3,15,503026
3624,4,16,627004
3412,2,18,549180
2163,5,14,440970
2278,4,3,437873
3356,3,12,570389
1575,2,9,281769
4814,2,28,746539
834,5,7,234513
3952,1,9,603795
2755,3,13,478809
2385,5,18,468263
4743,3,5,766471
3873,1,13,605414
1821,1,4,295269
4261,5,2,771449
3413,1,16,540300
4643,4,9,792967
2300,2,9,379117
961,5,6,265400
2781,3,11,480100
1795,4,22,344609
4142,5,24,725896
4598,1,22,698230
2075,1,1,316512
1816,1,4,296015
1137,1,13,165877
1678,3,23,313468
1876,4,13,377250
4793,2,13,752798
1179,3,2,269392
1292,3,9,254960
2862,2,24,469298
4684,2,8,751830
864,1,7,136676
3368,3,4,560005
2827,5,18,542135
3495,2,3,565965
2295,2,28,352000
1191,4,6,265882
4361,5,12,783053
3078,5,12,561653
3899,2,21,625943
1000,1,28,152500
3904,4,8,680018
3254,5,22,605414
4445,2,22,697199
1604,5,1,362078
3531,4,4,640829
3573,4,21,620288
2370,3,28,409399
3490,2,11,546645
4640,4,3,805101
1828,3,13,318975
1302,3,25,256947
1670,5,17,358039
1006,5,22,270638
2284,3,22,402216
1663,5,10,358569
3590,4,21,622659
1363,1,12,234549
4991,4,15,823945
2557,3,21,452260
2478,3,10,441385
4042,4,14,697779
1859,5,13,404479
2522,5,5,495333
4114,3,6,703002
3957,2,24,614958
3425,5,2,634170
3529,4,22,603701
2397,5,17,451681
3860,4,4,666349
3493,3,14,603175
4427,5,10,797897
2163,4,3,413903
2781,3,25,465964
2463,2,3,414713
2329,4,15,426508
2838,2,6,465435
4102,2,17,644130
3037,1,12,472476
2106,5,22,433679
4829,4,20,787723
3475,2,24,537585
2082,1,29,312041
1509,3,11,281042
4548,4,25,771257
1463,2,4,246897
2798,5,26,518283
4245,1,28,636515
4543,2,26,709356
2295,5,6,462817
4104,2,1,658739
4563,4,20,782680
2653,4,23,474470
2091,4,28,385352
4381,1,16,671716
4257,4,15,711207
2436,5,17,491088
4496,2,8,726534
3799,3,28,607195
3952,5,26,699213
1498,5,12,322908
2960,4,27,530455
4897,1,22,745568
1654,2,21,265180
4274,1,10,658002
2507,2,27,388536
3577,2,15,590412
2533,1,9,397108
4310,5,2,785371
1002,2,5,210508
