age,monthly_charges,total_usage_gb,tenure_months,support_calls,late_payments,gender,contract_type,payment_method,internet_type,region,customer_segment,churn
56.0,,222.96009209233276,48.0,13.0,4.0,Male,Quarterly,Net Banking,DSL,North,Premium,No
,2295.512167415586,309.572522409552,,4.0,5.0,,Monthly,Debit Card,DSL,East,Basic,
46.0,,46.31472206974473,35.0,1.0,4.0,Female,Yearly,Debit Card,Fiber,,Standard,Yes
,2008.387587406554,441.7961023616327,86.0,7.0,0.0,Male,Yearly,Credit Card,,South,Standard,Yes
60.0,4112.840518691051,,38.0,13.0,2.0,Female,Quarterly,Net Banking,Mobile,,Basic,No
25.0,520.8441035207129,255.0773529204359,31.0,1.0,0.0,Male,Yearly,Net Banking,DSL,North,Basic,Yes
,2000.7462726101487,483.7276745532894,78.0,9.0,4.0,Female,Monthly,Credit Card,Fiber,West,Standard,
56.0,,211.79168474117435,24.0,11.0,4.0,Female,Yearly,Debit Card,Mobile,,,Yes
36.0,,,114.0,5.0,5.0,Female,Yearly,Net Banking,DSL,,Premium,Yes
,,335.6203994077954,49.0,7.0,7.0,Male,Quarterly,Credit Card,Mobile,North,Basic,No
,,319.16228026070104,96.0,5.0,9.0,,Yearly,Debit Card,Fiber,,Standard,No
28.0,,87.14767317141357,100.0,3.0,0.0,,Quarterly,,DSL,South,Standard,Yes
,3818.755616493868,441.55424036079876,32.0,12.0,3.0,,Quarterly,Net Banking,Mobile,North,,No
,2534.9807340041325,216.6073955207045,55.0,3.0,9.0,Female,Yearly,Credit Card,Mobile,,,
,1510.7217032299188,85.30553586232728,79.0,5.0,0.0,,Monthly,UPI,,North,Premium,Yes
41.0,2535.9778225971204,11.240722388000725,107.0,13.0,,,Quarterly,Debit Card,Mobile,North,,No
20.0,,282.07906340099936,58.0,,6.0,Female,,,Mobile,West,Standard,No
,1293.741439278005,,99.0,12.0,,,Quarterly,UPI,Fiber,West,Basic,
19.0,2742.654977327659,361.0800430727335,3.0,3.0,4.0,Male,Monthly,Debit Card,Fiber,South,Basic,Yes
41.0,2385.1645227704657,445.67773624381203,80.0,7.0,6.0,Male,,,Fiber,South,,
,4616.806554806451,44.306259398299616,69.0,8.0,,Male,Quarterly,Credit Card,Fiber,West,Standard,No
,2130.772546024849,367.09076271847937,85.0,0.0,3.0,,Monthly,Debit Card,Fiber,East,,No
55.0,,97.7689123283032,10.0,12.0,6.0,Male,Yearly,,Fiber,North,Standard,No
19.0,3345.1892956378865,429.79764131279615,83.0,3.0,2.0,Female,Yearly,,DSL,,,Yes
,,410.4364393615198,25.0,3.0,1.0,Male,Quarterly,,Fiber,East,Premium,Yes
50.0,,272.6929087178445,68.0,1.0,9.0,,Monthly,Debit Card,Mobile,West,Basic,Yes
29.0,,356.5701853185392,,5.0,1.0,Female,,UPI,DSL,South,,Yes
,4824.816428612548,,29.0,2.0,0.0,Female,Yearly,,Mobile,North,Premium,Yes
61.0,1168.9822748890083,238.22810997174324,19.0,6.0,,,Yearly,Net Banking,Fiber,South,Basic,No
42.0,,411.7102643666835,43.0,12.0,5.0,Male,Quarterly,,Fiber,,,No
66.0,884.0735063538973,232.33627260074087,66.0,,,,Quarterly,UPI,,East,Basic,Yes
44.0,4985.934133306763,182.11014133609368,74.0,10.0,8.0,Male,Yearly,Credit Card,Mobile,South,Premium,Yes
,2759.8775464905916,249.63516138889844,,4.0,3.0,Female,Yearly,UPI,Mobile,South,,Yes
45.0,3179.232577940197,414.9833799564231,43.0,3.0,0.0,,Monthly,Credit Card,DSL,West,Premium,
33.0,801.8441482479236,170.927983448582,25.0,4.0,5.0,Female,Monthly,Credit Card,Fiber,South,Basic,
32.0,3874.8221167963,91.01198860219318,20.0,7.0,4.0,Female,Monthly,,Mobile,South,Standard,No
,1444.575168930136,357.44694006373646,48.0,2.0,9.0,Male,Quarterly,,Fiber,West,Premium,Yes
68.0,4541.244302483212,413.8592152905005,83.0,13.0,5.0,Female,Yearly,Debit Card,Mobile,,,Yes
,1423.1283821690322,54.815551869149,87.0,6.0,,Male,Quarterly,,Fiber,,Premium,Yes
,1358.0947429864996,,24.0,14.0,1.0,Female,Yearly,UPI,DSL,South,,
,664.473505316427,75.27613493169198,,13.0,,,Monthly,Net Banking,Fiber,North,Standard,
54.0,,177.23099873317247,110.0,5.0,0.0,,Monthly,UPI,,East,Standard,
,3041.7850996817738,227.92373455817926,98.0,,6.0,Female,Monthly,Net Banking,,West,Premium,Yes
24.0,,375.6690367968367,55.0,0.0,6.0,Female,Monthly,UPI,DSL,East,Basic,
,3989.8742751275477,,28.0,12.0,9.0,,Yearly,Credit Card,DSL,West,Basic,No
,2539.7997563661243,312.3596409018234,69.0,6.0,,Female,,UPI,Fiber,,Basic,No
,2859.75621197411,179.42559857177892,63.0,13.0,9.0,Female,Yearly,UPI,Mobile,,Standard,No
,2483.432361222027,421.51653877695617,59.0,12.0,,Male,Yearly,Net Banking,DSL,East,Premium,
21.0,2303.4337739389666,238.28714786209147,5.0,6.0,,,,,DSL,,,Yes
42.0,3018.3814908869804,489.6569443175015,51.0,13.0,6.0,Female,Monthly,Net Banking,Fiber,East,Premium,Yes
31.0,1198.5811066882063,318.9003584563897,21.0,,,Female,Monthly,,DSL,East,Standard,Yes
67.0,,67.50104707442885,12.0,11.0,4.0,Female,Quarterly,Debit Card,DSL,North,,No
26.0,4378.035294560828,,50.0,0.0,1.0,,Yearly,,Mobile,West,Premium,No
43.0,4757.519579601348,165.926487638691,4.0,8.0,6.0,Female,Monthly,UPI,Mobile,East,Premium,No
,2179.8919232588883,,,5.0,9.0,Female,Yearly,Credit Card,Mobile,,Standard,
37.0,1718.351029145992,39.472368340390844,113.0,14.0,0.0,Female,Quarterly,Credit Card,Fiber,North,Basic,No
45.0,3397.9979445755707,91.5663114020999,42.0,11.0,6.0,,Yearly,UPI,DSL,East,Standard,No
,,428.58994315836424,84.0,1.0,5.0,Female,Monthly,,Fiber,East,,Yes
,614.2386004715519,,38.0,4.0,6.0,,Yearly,UPI,DSL,,Premium,
,,419.3353569952553,25.0,12.0,9.0,,Yearly,Credit Card,DSL,East,Premium,No
25.0,3721.875029813289,143.24166378493317,14.0,10.0,,,Monthly,Debit Card,DSL,East,Basic,
64.0,3465.157738595681,323.2265454790603,,3.0,2.0,Female,Monthly,Debit Card,Mobile,East,,No
52.0,621.9319662656757,348.60453388736636,32.0,6.0,6.0,Female,Yearly,Credit Card,Fiber,,Premium,
31.0,,,11.0,7.0,1.0,,,UPI,Fiber,South,Basic,Yes
34.0,1539.8365846463212,156.128784964882,61.0,,0.0,Male,Quarterly,Net Banking,DSL,East,Basic,Yes
53.0,3523.5173461942777,110.25896630369257,18.0,13.0,8.0,Male,Monthly,,Fiber,East,Premium,No
,588.6974198946386,21.428730508400978,27.0,14.0,8.0,Female,Yearly,UPI,Mobile,East,Standard,Yes
57.0,968.4886189305823,155.45346861415828,55.0,10.0,6.0,Female,Monthly,Credit Card,Fiber,North,Basic,
21.0,4099.622384179353,328.3155813129851,54.0,0.0,6.0,Female,Quarterly,,,South,Premium,
19.0,,469.4608851319989,82.0,4.0,,Female,Yearly,Credit Card,,North,Basic,Yes
23.0,3437.357485333436,436.2462187202108,87.0,,9.0,Male,Yearly,,Mobile,North,,No
59.0,,384.2020643849748,75.0,2.0,1.0,Male,Yearly,,DSL,South,Premium,No
,947.4862674170532,395.28143491038287,,0.0,6.0,Male,Monthly,Net Banking,Fiber,North,Basic,Yes
46.0,1594.2748594975433,334.16752722061767,44.0,11.0,8.0,Male,Quarterly,Net Banking,DSL,North,Basic,No
35.0,3750.2011933504664,133.8419944951715,5.0,2.0,,Female,Monthly,,Fiber,North,Basic,No
43.0,,454.0615401993858,,13.0,3.0,Female,Yearly,Debit Card,Fiber,South,,Yes
,4235.989390551462,337.01249439338784,41.0,5.0,,,Quarterly,Credit Card,Mobile,,,Yes
,2287.325883283047,,59.0,,6.0,,Yearly,,DSL,West,,Yes
27.0,3506.383114567908,59.93978726067313,89.0,6.0,9.0,Male,Yearly,UPI,,,,Yes
,1422.4293293711944,226.29249418418058,105.0,7.0,6.0,,Monthly,Debit Card,DSL,South,Basic,No
,1819.1647861745596,232.87734424495352,54.0,12.0,9.0,Male,Yearly,Credit Card,DSL,West,Basic,Yes
48.0,4533.511183345039,432.95898671372163,74.0,,1.0,,Quarterly,,Mobile,South,,Yes
65.0,,275.5908689929553,22.0,3.0,3.0,Female,,Debit Card,DSL,South,Standard,Yes
,,193.2982717403528,83.0,2.0,4.0,Male,Yearly,,DSL,West,Standard,No
25.0,1435.4881481571229,488.5161626127764,65.0,4.0,0.0,,Monthly,,Fiber,North,,No
31.0,619.3949174321888,59.80669369652626,64.0,8.0,0.0,Male,Quarterly,Debit Card,DSL,East,Basic,
,,214.1614720144126,71.0,12.0,9.0,Female,Monthly,,DSL,West,Premium,
57.0,,,4.0,5.0,,Female,Yearly,,,West,,No
38.0,2396.4104776662407,371.2525397796305,65.0,14.0,9.0,Female,Monthly,Net Banking,Mobile,,Basic,Yes
33.0,4517.022699846387,459.44789333857955,,8.0,2.0,,Monthly,Credit Card,DSL,,Standard,No
