age,experience_years,salary,training_hours,performance_score,projects_completed,department,education,job_role,work_mode,promotion_last_5yrs,attrition
24.278344058545592,19.96026851370168,1243218.3156426395,134.74344715605574,1.9632084834776813,16.87470723545883,Finance,MBA,Analyst,,No,Yes
,31.8537969143112,1742446.3022191494,456.08311360249206,3.3509203497617426,21.721609094697612,IT,PhD,Manager,Hybrid,,Yes
,9.569273748756583,2648597.257205919,387.160183950659,4.996608339518495,32.05282552892957,Finance,PhD,Analyst,Onsite,,Yes
,32.77313530276706,1112581.2324424032,434.5185796397397,2.4205903324203497,,IT,,Manager,,No,Yes
36.94221003772352,28.367799368310525,1026374.560959412,,1.0316201575825974,5.670642514531815,,PhD,Analyst,Remote,Yes,Yes
,2.8706550543466474,852792.9447813501,119.70477550111409,4.641508517799169,,,PhD,Executive,Onsite,No,
,11.96927248442837,446702.44639769103,374.6931660922341,1.260676091618739,,,PhD,Lead,,No,
,24.375893434518364,1437953.1400840706,398.7214400416665,1.0916215429764895,,,PhD,Executive,,,No
49.897492096692964,8.37672764686864,911555.557732054,69.85139428184617,3.1985507950024066,27.116802656183754,Sales,,,Onsite,Yes,
34.06095224641776,21.766976088503508,2760959.185468813,,3.053949608431935,,,Master,Executive,Onsite,No,No
,29.265583663153677,1118088.8094565778,69.01050715031326,,13.941232770064982,IT,Bachelor,Manager,Hybrid,Yes,Yes
56.309083927361826,25.611959197107282,,224.88599421976525,4.901124485357713,32.24339371951123,,PhD,Analyst,Hybrid,Yes,No
23.98326041577848,32.36401222838589,1673262.2044619373,411.99359936069607,,17.585905844390908,,MBA,Lead,Remote,,No
,,,26.9023742660508,,19.553148603349502,HR,PhD,Manager,Remote,No,
,9.0612483129075,1352922.8225285737,,4.51846708242706,24.00444769065004,,MBA,,Onsite,Yes,Yes
,6.142546441266133,,,1.4464566745193652,7.9966940596392035,,MBA,Analyst,Onsite,No,
25.82707281203359,,2239646.7823511,,4.717386865563254,,Sales,Master,Analyst,Remote,Yes,Yes
30.563908621129006,28.431143878804967,385751.47685136355,424.1048222887996,1.0951766684637585,32.694944569118014,IT,,Manager,Onsite,No,
,21.5046827720778,551772.1282747388,319.2454520526043,,49.809464239401976,IT,PhD,Manager,Hybrid,No,
27.232486160647397,,1740431.6909089535,,3.529478920190144,28.423867776552914,,Bachelor,,Hybrid,,Yes
52.28740349837226,23.001691522781197,1158327.074327149,194.40646246716813,4.384081860927262,,HR,,Lead,Hybrid,Yes,Yes
,31.406841346477776,2419340.335727921,405.56749870271386,4.611534276305936,48.69272544865409,HR,PhD,Manager,Hybrid,Yes,No
56.04024946907114,21.494984279868472,2785864.575457373,22.83863829419097,3.1707070895931135,33.50210151493273,,Master,Executive,Onsite,Yes,Yes
,16.95725137123025,2201103.151151793,,,17.529066033742513,HR,Master,Analyst,Hybrid,Yes,Yes
57.95508810212294,23.933177427021015,1055948.8838309627,441.77640739204264,,22.469820713493522,HR,Bachelor,Lead,Hybrid,No,
,0.6815452932069599,1355986.885203462,19.434413656261807,2.9511290739036844,32.342742690978085,Operations,Bachelor,Analyst,Onsite,,
38.39091001182463,24.88051643320369,304354.2305459328,362.0985640315622,2.7677153628225906,37.41647308293894,Operations,PhD,Executive,Remote,No,Yes
34.96532533086967,,1999588.010094369,160.09333315894025,,,,MBA,,Onsite,No,No
45.52161851626602,14.197690693529537,1833747.1065665607,433.5755559200235,1.0400115822664362,36.59333214063165,Finance,PhD,Executive,,Yes,Yes
,28.843753068710686,2422739.4225872797,,4.975302638480462,45.42827579211248,HR,Master,Lead,Onsite,No,No
55.69409296822911,2.502124327836376,,147.42464670998856,1.5741700581198992,,HR,Bachelor,Analyst,Remote,,No
54.0178411992241,,2176108.2258117916,98.42553889015105,1.0904650870605739,,Sales,PhD,Manager,Hybrid,Yes,Yes
28.422047464208894,10.21710169478478,2896964.4903653977,125.8059043936669,2.6101190816310997,49.366609717042685,Operations,Bachelor,Executive,Remote,No,Yes
45.711355912671095,,1762219.1689423067,195.69002954660664,2.1320369610327354,32.07615218664248,,PhD,Executive,Remote,No,Yes
,19.33535965639705,,328.73690900337596,2.5376181333245005,,,PhD,Lead,Hybrid,No,Yes
28.77918637333974,9.699435321983685,,467.27596729377177,,18.43408090815005,,Master,Lead,Onsite,No,Yes
,30.91713207127551,,,3.9185889313099533,,,Bachelor,Lead,,Yes,
34.73865971976423,9.455637579887718,2941995.116559709,24.12019627367412,,,Operations,,Manager,Onsite,No,No
,12.932022567382155,2061581.4875836186,338.2516534191957,2.7314616104913445,38.960621854169894,,MBA,,Remote,No,No
,6.91528234608907,466101.01346276107,163.94366875775867,1.275099786742674,46.20875387547072,Operations,PhD,Analyst,Hybrid,Yes,Yes
37.60434145019675,22.526419415181422,,410.5218485326108,,44.80191996351016,HR,Master,Analyst,Hybrid,No,Yes
39.23542295801914,28.461367334778153,1645357.3554544072,171.13940937682875,,39.300813385937616,Operations,PhD,Manager,,No,Yes
40.30676663172976,5.076831587606734,1814283.1140854002,349.57648859415934,4.591671230583288,16.67442037255852,,,Manager,Hybrid,No,No
55.212359293909635,28.74218628599877,,258.7057216220683,1.9196950925702745,,Operations,,Manager,Onsite,No,Yes
25.364316477030275,33.20921657872457,789098.2414684852,,,23.01236694303142,,PhD,,Remote,,
39.01237947843069,5.961604266073174,,,4.004486448825932,,Sales,MBA,,Onsite,No,Yes
51.05513877262595,28.41457161407004,1468716.5239332772,102.3821742279949,3.8398097686539954,4.486182722524784,Sales,PhD,Lead,Hybrid,Yes,Yes
,33.881192361999304,797668.2526309802,,1.310187925568583,,,MBA,Lead,Remote,Yes,No
32.418567238812614,23.843625148555738,2881806.5071550477,79.15873385222083,2.3945814186918875,33.66281513844043,,MBA,Executive,,No,No
,9.35942607429467,,,,46.96019623665044,,MBA,Executive,Hybrid,Yes,No
39.9095184734293,7.927467538811972,2689800.5077828923,,4.237634855497522,0.46513090790681333,Sales,Bachelor,,Remote,Yes,Yes
36.00989065908957,6.144770121913512,2228478.3266465906,309.2998596085598,,43.90198602501614,IT,Master,,Hybrid,No,
,,1099637.7582952273,419.5313771250553,4.751943385810212,,,Master,,,No,Yes
51.602156695693495,,1954820.9931464538,156.7943928721609,1.5439315799009026,24.33627508740247,,MBA,Executive,Hybrid,,No
,33.42880326046815,2436546.9368686257,162.50309526369728,1.2581578020058304,,IT,PhD,,Hybrid,,
,25.236300036107597,727733.8444474611,,,4.32158139835776,,Bachelor,Analyst,Remote,Yes,Yes
,7.014996284819352,1295574.3093026783,182.15672652473003,3.5518230639230572,,IT,PhD,Manager,Onsite,No,Yes
32.188299597980674,32.45026121706063,1800695.9884126163,313.31768639512643,2.962516783010581,16.080105135897853,,PhD,Analyst,Hybrid,Yes,Yes
,5.287475369534574,1992388.9837452336,222.0134542940027,4.331655433677144,12.500402814412631,IT,PhD,,Hybrid,Yes,
54.79979712327561,4.133367364141767,1150716.7045359164,444.8783491669727,2.8044409470614733,,Operations,,Executive,Remote,No,No
46.494269643568785,14.684337835399454,504825.9237662435,447.6376187256286,,24.986213100195126,Finance,PhD,,,Yes,
45.337174259600204,14.375683871019495,635832.9892921443,,1.1233459881101635,20.742993954784446,IT,Master,Executive,,Yes,Yes
37.79081904848819,33.42710683514086,2230709.441591639,432.8246725619542,4.3394526423246145,,Sales,Bachelor,Manager,Hybrid,Yes,No
,30.94945859733808,746242.4997018916,490.8184826039447,2.0678098700505387,2.881608506179656,Sales,Bachelor,Manager,Remote,No,
32.37891866582732,5.937078328596896,886528.3408453551,407.55211969615556,,,Operations,MBA,,Hybrid,No,
,,547083.9393684482,,,,,Bachelor,Executive,Remote,Yes,
